Robot talk
move 1 1
move 2 2
move 3 3
move 3 4
move 3 5
move 3 6
clean 3 6
move 4 7
move 5 8
move 6 9
move 7 10
move 8 11
move 9 12
move 10 13
move 11 14
move 12 15
move 13 16
move 14 17
move 15 18
move 16 19
move 17 20
move 18 21
move 19 22
move 20 23
move 21 24
move 22 25
move 23 26
move 24 27
move 25 28
move 26 29
move 27 30
move 28 31
move 29 32
move 30 33
move 31 34
move 32 35
move 33 36
move 34 37
move 34 38
move 34 39
move 34 40
move 34 41
move 34 42
move 34 43
move 34 44
move 34 45
move 34 46
move 34 47
move 34 48
move 34 49
move 34 50
move 34 51
move 34 52
move 34 53
move 34 54
move 34 55
move 34 56
move 34 57
move 34 58
move 34 59
move 34 60
move 34 61
move 34 62
move 34 63
move 34 64
move 34 65
move 34 66
move 34 67
clean 34 67
move 33 66
move 32 65
move 31 64
move 30 63
move 29 62
move 28 61
move 27 60
move 26 59
move 25 58
move 24 57
move 23 56
move 22 55
move 21 54
move 20 53
move 19 52
move 18 51
move 17 50
move 16 49
move 15 48
move 14 47
move 13 46
move 12 45
move 11 44
move 11 43
move 11 42
move 11 41
move 11 40
move 11 39
move 11 38
move 11 37
move 11 36
move 11 35
move 11 34
move 11 33
move 11 32
move 11 31
move 11 30
move 11 29
move 11 28
move 11 27
move 11 26
move 11 25
move 11 24
move 11 23
move 11 22
move 11 21
move 11 20
move 11 19
move 11 18
move 11 17
move 11 16
move 11 15
move 11 14
move 11 13
move 11 12
move 11 11
clean 11 11
move 10 10
move 9 9
move 8 8
move 7 7
move 6 6
move 5 5
clean 5 5
move 4 4
clean 4 4
move 5 3
move 6 2
move 6 1
move 6 0
clean 6 0
move 5 0
move 4 0
move 3 0
move 2 0
move 1 0
move 0 0
rest

