Robot laugh
move 1 1
move 2 2
move 3 3
clean 3 3
move 3 4
move 3 5
move 3 6
clean 3 6
move 4 5
move 4 4
clean 4 4
move 5 5
clean 5 5
move 6 4
move 6 3
move 6 2
move 6 1
move 6 0
clean 6 0
move 6 1
move 6 2
move 6 3
move 6 4
move 6 5
move 6 6
move 6 7
move 6 8
move 6 9
clean 6 9
move 7 10
move 8 11
move 9 11
move 10 11
move 11 11
clean 11 11
move 12 12
clean 12 12
move 12 13
move 12 14
move 12 15
move 12 16
move 12 17
move 12 18
move 12 19
move 12 20
move 12 21
move 12 22
move 12 23
move 12 24
move 12 25
move 12 26
move 12 27
move 12 28
move 12 29
move 12 30
move 12 31
move 12 32
move 12 33
clean 12 33
move 13 32
move 14 31
move 15 30
move 16 29
move 17 28
move 18 27
move 19 26
move 20 25
move 21 24
move 22 23
move 23 22
move 24 21
move 25 20
move 26 19
move 27 18
move 28 17
move 29 16
move 30 15
move 31 14
move 32 13
move 33 12
move 34 11
move 34 10
move 34 9
move 34 8
move 34 7
move 34 6
move 34 5
move 34 4
move 34 3
move 34 2
move 34 1
clean 34 1
move 34 2
move 34 3
move 34 4
move 34 5
move 34 6
move 34 7
move 34 8
move 34 9
move 34 10
move 34 11
move 34 12
move 34 13
move 34 14
move 34 15
move 34 16
move 34 17
move 34 18
move 34 19
move 34 20
move 34 21
move 34 22
move 34 23
move 34 24
move 34 25
move 34 26
move 34 27
move 34 28
move 34 29
move 34 30
move 34 31
move 34 32
move 34 33
move 34 34
move 34 35
move 34 36
move 34 37
move 34 38
move 34 39
move 34 40
move 34 41
move 34 42
move 34 43
move 34 44
move 34 45
move 34 46
move 34 47
move 34 48
move 34 49
move 34 50
move 34 51
move 34 52
move 34 53
move 34 54
move 34 55
move 34 56
move 34 57
move 34 58
move 34 59
move 34 60
move 34 61
move 34 62
move 34 63
move 34 64
move 34 65
move 34 66
move 34 67
clean 34 67
move 35 66
move 36 65
move 37 64
move 38 63
move 39 62
move 40 61
move 41 60
move 42 59
move 43 58
move 44 57
move 45 56
move 46 55
move 47 54
move 48 53
move 49 52
move 50 51
move 51 50
move 52 49
move 53 48
move 54 47
move 55 46
move 56 45
move 57 44
move 57 43
clean 57 43
move 58 44
move 59 45
move 60 46
move 61 47
move 62 48
move 63 49
move 64 50
move 65 51
move 66 52
move 67 53
move 68 54
move 69 55
move 70 56
move 71 56
move 72 56
move 73 56
move 74 56
move 75 56
move 76 56
move 77 56
move 78 56
move 79 56
move 80 56
move 81 56
move 82 56
move 83 56
move 84 56
move 85 56
move 86 56
move 87 56
clean 87 56
move 87 57
move 87 58
move 87 59
move 87 60
move 87 61
move 87 62
move 87 63
move 87 64
move 87 65
move 87 66
move 87 67
move 87 68
move 87 69
move 87 70
move 87 71
move 87 72
move 87 73
move 87 74
move 87 75
move 87 76
clean 87 76
move 86 75
move 85 74
move 84 73
move 83 72
move 82 71
move 81 70
move 80 69
move 79 68
move 78 67
move 77 66
move 76 65
move 75 64
move 74 63
move 73 62
move 72 61
move 71 60
move 70 59
move 69 58
move 68 57
move 67 56
move 66 55
move 65 54
move 64 53
move 63 52
move 62 51
move 61 50
move 60 49
move 59 48
move 58 47
move 57 46
move 56 45
move 55 44
move 54 43
move 53 42
move 52 41
move 51 40
move 50 39
move 49 38
move 48 37
move 47 36
move 46 35
move 45 34
move 44 33
move 43 32
move 42 31
move 41 30
move 40 29
move 39 28
move 38 27
move 37 26
move 36 25
move 35 24
move 34 23
move 33 22
move 32 21
move 31 20
move 30 19
move 29 18
move 28 17
move 27 16
move 26 15
move 25 14
move 24 13
move 23 12
move 22 11
move 21 10
move 20 9
move 19 8
move 18 7
move 17 6
move 16 5
move 15 4
move 14 3
move 13 2
move 12 1
move 11 0
move 10 0
move 9 0
move 8 0
move 7 0
move 6 0
move 5 0
move 4 0
move 3 0
move 2 0
move 1 0
move 0 0
rest

