Robot balance
move 1 1
move 1 2
move 1 3
move 2 4
move 3 5
move 4 6
move 4 7
move 4 8
clean 4 8
move 5 9
clean 5 9
move 6 10
move 7 11
move 8 12
move 9 13
move 10 14
move 10 15
move 10 16
move 10 17
move 10 18
move 11 19
move 12 20
move 13 21
move 14 22
move 15 23
move 15 24
move 15 25
move 15 26
move 15 27
move 15 28
move 15 29
move 15 30
move 15 31
move 15 32
move 15 33
move 15 34
clean 15 34
move 14 35
move 13 36
move 12 37
move 12 38
move 12 39
move 12 40
move 12 41
move 12 42
move 12 43
move 12 44
move 12 45
clean 12 45
move 13 46
move 14 47
move 15 48
move 16 49
move 17 50
move 18 51
move 19 52
move 20 53
move 21 54
move 22 55
move 23 56
move 24 57
move 25 58
move 26 59
move 27 60
move 28 61
move 29 62
move 30 63
move 31 64
move 32 65
move 33 66
move 34 67
move 35 68
move 35 69
move 35 70
move 35 71
move 35 72
move 35 73
move 35 74
move 35 75
move 35 76
clean 35 76
move 36 75
move 37 74
move 38 73
move 39 72
move 40 71
move 41 70
move 42 69
move 43 68
move 44 67
move 45 66
move 46 65
move 47 64
move 48 63
move 49 62
move 50 61
move 51 60
move 51 59
move 51 58
move 51 57
move 51 56
move 51 55
move 51 54
move 51 53
clean 51 53
move 50 52
move 49 51
move 48 50
move 47 49
move 46 48
move 45 47
move 44 46
move 43 45
move 42 44
move 41 43
move 40 42
move 39 41
move 38 40
move 37 39
move 36 38
move 35 37
move 34 36
move 33 35
move 32 34
move 31 33
move 30 32
move 29 31
move 28 30
move 27 29
move 26 28
move 25 27
move 24 26
move 23 25
move 22 24
move 21 23
move 20 22
move 19 21
move 18 20
move 17 19
clean 17 19
move 17 18
move 17 17
move 17 16
move 17 15
move 16 14
move 15 13
move 14 12
move 13 11
move 13 10
move 13 9
move 13 8
move 13 7
move 13 6
move 13 5
clean 13 5
move 12 5
move 11 5
move 10 5
move 9 5
move 8 5
clean 8 5
move 7 4
move 6 3
move 5 2
move 4 1
move 3 0
move 2 0
move 1 0
move 0 0
rest

