Robot close
move 1 1
move 2 2
move 3 3
move 3 4
move 3 5
clean 3 5
move 2 6
clean 2 6
move 2 5
clean 2 5
move 2 4
clean 2 4
move 1 3
move 0 2
move 0 1
move 0 0
rest

Robot bal
move 1 1
move 2 2
move 3 3
move 4 4
move 5 5
move 6 6
move 6 7
move 6 8
clean 6 8
move 5 7
move 4 6
move 3 5
move 2 4
move 1 3
move 0 2
move 0 1
move 0 0
rest

Robot far
move 1 1
move 2 2
move 3 3
move 4 4
move 5 5
move 6 6
move 7 7
move 8 8
move 9 9
move 10 10
move 11 11
move 12 12
move 13 13
move 14 14
move 15 15
move 16 16
move 17 17
move 18 18
move 19 19
move 20 20
move 21 21
move 22 22
move 23 23
move 24 24
move 24 25
move 24 26
move 24 27
move 24 28
move 24 29
move 24 30
move 24 31
move 24 32
move 24 33
move 24 34
move 24 35
move 24 36
move 24 37
move 24 38
move 24 39
move 24 40
move 24 41
move 24 42
move 24 43
move 24 44
move 24 45
move 24 46
move 24 47
move 24 48
move 24 49
move 24 50
move 24 51
move 24 52
move 24 53
move 24 54
move 24 55
move 24 56
move 24 57
move 24 58
move 24 59
move 24 60
move 24 61
move 24 62
move 24 63
move 24 64
move 24 65
move 24 66
move 24 67
move 24 68
move 24 69
move 24 70
move 24 71
move 24 72
move 24 73
move 24 74
move 24 75
move 24 76
move 24 77
move 24 78
clean 24 78
move 23 77
move 22 76
move 21 75
move 20 74
move 19 73
move 18 72
move 17 71
move 16 70
move 15 69
move 14 68
move 13 68
move 12 68
move 11 68
move 10 68
move 9 68
move 8 68
move 7 68
move 6 68
move 5 68
move 4 68
clean 4 68
move 3 67
move 2 66
move 1 65
move 0 64
move 0 63
move 0 62
move 0 61
move 0 60
move 0 59
move 0 58
move 0 57
move 0 56
move 0 55
move 0 54
move 0 53
move 0 52
move 0 51
move 0 50
move 0 49
move 0 48
move 0 47
move 0 46
move 0 45
move 0 44
move 0 43
move 0 42
move 0 41
move 0 40
move 0 39
move 0 38
move 0 37
move 0 36
move 0 35
move 0 34
move 0 33
move 0 32
move 0 31
move 0 30
move 0 29
move 0 28
move 0 27
move 0 26
move 0 25
move 0 24
move 0 23
move 0 22
move 0 21
move 0 20
move 0 19
move 0 18
move 0 17
move 0 16
move 0 15
move 0 14
move 0 13
move 0 12
move 0 11
move 0 10
move 0 9
move 0 8
move 0 7
move 0 6
move 0 5
move 0 4
move 0 3
move 0 2
move 0 1
move 0 0
rest

